"name","Class","Description"
"YJL070C","M","YJL070c similarity to AMP deaminases"
"YDR296W","D","MHR1 Involved in mitochondrial homologous DNA recombination"
"YHR156C","O","YHR156c weak similarity to mouse kinesin KIF3B"
"YKL194C","P","MST1 threonine--tRNA ligase, mitochondrial"
"YDR117C","O","YDR117c similarity to mouse ligatin, a trafficking receptor for phosphoglycoproteins"
"YNL222W","B","SSU72 suppressor of cs mutant of SUA7"
"YKL151C","U","YKL151c similarity to C.elegans hypothetical protein R107.2"
"YCL037C","T","SRO9 La motif-containing proteins that modulate mRNA translation"
"YFL003C","D","MSH4 meiosis-specific protein"
"YBL102W",NA,NA
"YIL052C","P","RPL34B ribosomal protein L34.e"
"YGR021W","U","YGR021w similarity to M.leprae yfcA protein"
"YGR246C","T","BRF1 TFIIIB subunit, 70 kD"
"YJL121C","E","RPE1 D-ribulose-5-phosphate 3-epimerase"
"YKL088W","R","YKL088w similarity to C.tropicalis hal3 protein, to C-term. of SIS2P and to hypothetical protein YOR054c"
"YGR005C","T","TFG2 TFIIF subunit (transcription initiation factor), 54 kD"
"YDR004W","D","RAD57 DNA repair protein"
"YBL074C","T","AAR2 A1 cistron splicing factor"
"YIL035C","T","CKA1 casein kinase II, catalytic alpha chain"
"YOR247W","R","SRL1 similarity to vanadate sensitive suppressor SVS1P"
"YOL051W","T","GAL11 DNA-directed RNA polymerase II holoenzyme and Kornberg's mediator (SRB) subcomplex subunit"
"YKL184W","M","SPE1 ornithine decarboxylase"
"YJR117W","F","STE24 zinc metallo-protease"
"YPL178W","T","CBC2 small subunit of the nuclear cap-binding protein complex CBC"
"YNL185C","P","MRPL19 ribosomal protein of the large subunit, mitochondrial"
"YOL142W","D","RRP40 protein involved in ribosomal RNA processing, component of the exosome complex responsible for 3' end processing and degradation of many RNA species"
"YKR099W","B","BAS1 transcription factor"
"YNL316C","G","PHA2 prephenate dehydratase"
"YKR009C","M","FOX2 hydratase-dehydrogenase-epimerase, peroxisomal"
"YGR084C","P","MRP13 ribosomal protein of the small subunit, mitochondrial"
"YGL091C",NA,NA
"YJR110W","U","YJR110w similarity to human myotubularin"
"YOL018C","O","TLG2 member of the syntaxin family of t-SNAREs"
"YCR019W",NA,NA
"YMR077C","U","VPS20 similarity to SNF7 protein"
"YPR106W","U","ISR1 protein kinase"
"YOL052C","M","SPE2 adenosylmethionine decarboxylase precursor"
"YOR232W","F","MGE1 heat shock protein - chaperone"
"YDL236W","M","PHO13 4-nitrophenylphosphatase"
"YPR113W","M","PIS1 CDP diacylglycerol--inositol 3-phosphatidyltransferase"
"YLR281C","U","YLR281c similarity to polypeptide chain release factors"
"YLR058C","M","SHM2 serine hydroxymethyltransferase, cytoplasmic"
"YDL171C","G","GLT1 glutamate synthase (NAPDPH) (GOGAT)"
"YBR267W","U","YBR267w similarity to hypothetical protein YLR387c"
"YBL036C","U","YBL036c strong similarity to C.elegans hypothetical protein"
"YGL186C","A","YGL186c similarity to hypothetical protein FCY21P and weak similarity to FCY2 protein"
"YLR148W","O","PEP3 vacuolar membrane protein"
"YDL227C","C","HO homothallic switching endonuclease"
"YER023W","G","PRO3 delta 1-pyrroline-5-carboxylate reductase"
"YGR276C","M","RNH70 ribonuclease H"
"YBR088C","D","POL30 Proliferating Cell Nuclear Antigen (PCNA)"
"YER148W","T","SPT15 the TATA-binding protein TBP"
"YJR105W","M","ADO1 strong similarity to human adenosine kinase"
"YOR115C","O","TRS33 TRAPP subunit of 33 kDa involved in targeting and fusion of ER to golgi transport vesicles"
"YEL070W","M","YEL070w strong similarity to E.coli D-mannonate oxidoreductase"
"YPR003C","A","YPR003c similarity to sulphate transporter proteins"
"YDR336W","U","YDR336w weak similarity to B.subtilis hypothetical protein X"
"YPL022W","D","RAD1 component of the nucleotide excision repairosome"
"YBR187W","U","YBR187w similarity to mouse putative transmembrane protein FT27"
"YDL130W","P","RPP1B 60S large subunit acidic ribosomal protein L44prime"
"YBR279W","B","PAF1 DNA-directed RNA polymerase II regulator"
"YOL059W","M","GPD2 glycerol-3-phosphate dehydrogenase (NAD+), mitochondrial"
"YBR056W","M","YBR056w similarity to glucan 1,3-beta-glucosidase"
"YDR347W","P","MRP1 ribosomal protein of the small subunit, mitochondrial"
"YBR065C","C","ECM2 involved in cell wall biogenesis and architecture"
"YJR097W","F","YJR097w weak similarity to CAJ1P"
"YPL045W","O","VPS16 vacuolar sorting protein"
"YCR072C",NA,NA
"YKL186C","O","MTR2 mRNA transport protein"
"YNL036W","O","NCE103 involved in non-classical protein export pathway"
"YMR023C","T","MSS1 mitochondrial GTPase involved in expression of COX1"
"YLR396C","O","VPS33 vacuolar sorting protein"
"YML021C","D","UNG1 uracil-DNA glycosylase"
"YDR404C","T","RPB7 DNA-directed RNA polymerase II, 19 KD subunit"
"YDR121W","T","DPB4 DNA polymerase II (epsilon) 4th subunit"
"YDL058W","O","USO1 intracellular protein transport protein"
"YPR173C","O","VPS4 vacuolar sorting protein"
"YOR054C","R","YOR054c similarity to SIS2P protein and C.tropicalis hal3 protein"
"YBR263W","M","SHM1 serine hydroxymethyltransferase precursor, mitochondrial"
"YPL010W","O","RET3 coatomer complex zeta chain"
"YLR092W","A","SUL2 sulfate transporter"
"YNL097C","B","PHO23 involved in transcriptional regulation of PHO5"
"YML042W","M","CAT2 carnitine O-acetyltransferase"
"YGR209C","R","TRX2 thioredoxin II"
"YIL083C","U","YIL083c similarity to conserved hypothetical protein SPCC4B3.18 S. pombe"
"YPL118W","P","MRP51 mitochondrial ribosomal protein of the small subunit"
"YGL236C","P","MTO1 strong similarity to gidA E.coli protein"
"YMR208W","M","ERG12 mevalonate kinase"
"YGL256W","M","ADH4 alcohol dehydrogenase IV"
"YPL188W","U","POS5 similarity to UTR1P and YEL041w"
"YDR428C","U","YDR428c weak similarity to predicted esterase of proteobacterium"
"YGL250W","U","YGL250w weak similarity to hypothetical protein S. pombe"
"YPR126C","U","YPR126c questionable ORF"
"YJR133W","M","XPT1 xanthine phosphoribosyl transferase"
"YER179W","D","DMC1 meiosis-specific protein"
"YML007W","B","YAP1 transcriptional activator involved in oxidative stress response"
"YPR073C","U","LTP1 protein-tyrosine-phosphatase"
"YHL009C","B","YAP3 transcription factor, of a fungal-specific family of bzip proteins"
"YPL190C","T","NAB3 polyadenylated RNA-binding protein"
"YER056C-A","P","RPL34A ribosomal protein L34"
"YMR250W","G","GAD1 similarity to glutamate decarboxylases"
"YKL035W","M","UGP1 UTP--glucose-1-phosphate uridylyltransferase"
"YLR118C","U","YLR118c similarity to several esterases"
"YDR382W","P","RPP2B 60S large subunit acidic ribosomal protein"
"YMR316W","U","DIA1 similarity to YOR385w and YNL165w"
"YNL277W","G","MET2 homoserine O-acetyltransferase"
"YLR267W","U","BOP2 hypothetical protein"
"YML101C","U","YML101c weak similarity to YMR264w"
"YMR270C","T","RRN9 RNA polymerase I specific transcription initiation factor"
"YHR046C","C","YHR046c similarity to inositolmonophosphatases"
"YIR038C","R","GTT1 glutathione S-transferase"
"YMR242C","P","RPL20A 60s large subunit ribosomal protein"
"YLR359W","M","ADE13 adenylosuccinate lyase"
"YNL288W","U","CAF40 strong similarity to C.elegans hypothetical protein"
"YJL176C","B","SWI3 transcription regulatory protein"
"YBR019C","M","GAL10 UDP-glucose 4-epimerase"
"YPL132W","F","COX11 cytochrome-c oxidase assembly protein"
"YGL189C","P","RPS26A 40S small subunit ribosomal protein S26e.c7"
"YPL189W","A","GUP2 putative glycerol transporter involved in active glycerol uptake"
"YPL042C","D","SSN3 cyclin-dependent CTD kinase"
"YPL164C","D","MLH3 insertion and deletion mismatch repair protein"
"YLR386W","U","YLR386w similarity to hypothetical S. pombe protein"
"YNL054W-B",NA,NA
"YER143W","R","DDI1 induced in response to DNA alkylation damage"
"YGL025C","B","PGD1 mediator complex subunit"
"YGR081C","U","YGR081c weak similarity to mammalian myosin heavy chain"
"YKL155C","U","RSM22 similarity to S. pombe SPAC1420.04c putative cytochrome c oxidase assembly protein"
"YDR045C","T","RPC11 RNA polymerase III subunit C11, required for RNA cleavage activity and transcription termination"
"YDR294C","M","DPL1 dihydrosphingosine phosphate lyase"
"YOL039W","P","RPP2A acidic ribosomal protein P2.beta"
"YNR032W","E","PPG1 phosphoprotein phosphatase PPG catalytic chain"
"YHR210C","M","YHR210c strong similarity to UDP-glucose-4-epimerase"
"YER151C","F","UBP3 ubiquitin-specific proteinase"
"YDL142C","M","CRD1 cardiolipin synthase"
"YJR077C","O","MIR1 phosphate transport protein, mitochondrial (MCF)"
"YOR209C","M","NPT1 nicotinate phosphoribosyltransferase"
"YDL044C","P","MTF2 mitochondrial protein involved in mRNA splicing and protein synthesis"
"YCL063W","U","YCL063w weak similarity to yeast translation regulator GCD6P"
"YHR074W","U","QNS1 weak similarity to B.subtilis spore outgrowth factor B"
"YNR073C","M","YNR073c strong similarity to E.coli D-mannonate oxidoreductase, identical to YEL070w"
"YKR072C","B","SIS2 involved in cell cycle-specific gene expression"
"YBR003W","M","COQ1 hexaprenyl pyrophosphate synthetase precursor"
"YER037W","U","PHM8 strong similarity to hypothetical protein YGL224c"
"YJR048W","E","CYC1 cytochrome-c isoform 1"
"YPR035W","G","GLN1 glutamate--ammonia ligase"
"YDL209C","U","YDL209c similarity to hypothetical S. pombe protein"
"YJL167W","M","ERG20 farnesyl-pyrophosphate synthetase"
"YBR294W","A","SUL1 high-affinity sulfate transport protein"
"YJL140W","T","RPB4 DNA-directed RNA polymerase II, 32 kDa subunit"
"YNL199C","B","GCR2 glycolytic genes transcriptional activator"
"YOL114C","U","YOL114c similarity to human DS-1 protein"
"YFR002W","O","NIC96 nuclear pore protein"
"YOR014W","R","RTS1 potential regulatory subunit of protein phosphatase 2A"
"YDL022W","M","GPD1 glycerol-3-phosphate dehydrogenase (NAD+), cytoplasmic"
"YOR131C","U","YOR131c weak similarity to E.coli hypothetical 27K protein"
"YGR112W","E","SHY1 SURF homologue protein"
"YML119W","U","YML119w hypothetical protein"
"YDR366C","U","YDR366c similarity to YOL106w and YER181c"
"YKL002W","O","DID4 class E vacuolar-protein sorting and endocytosis factor"
"YBL022C","F","PIM1 ATP-dependent protease, mitochondrial"
"YMR298W","U","YMR298w hypothetical protein"
"YOR312C","P","RPL20B 60S large subunit ribosomal protein"
"YBR084W","G","MIS1 C1-tetrahydrofolate synthase precursor, mitochondrial"
"YIL084C","B","SDS3 transcriptional regulator"
"YBR020W","M","GAL1 galactokinase"
"YNL129W","U","YNL129w weak similarity to M.pneumoniae uridine kinase udk"
"YBR041W","M","FAT1 very long-chain fatty acyl-CoA synthetase"
"YIL167W","G","SDL1 serine dehydratase"
"YDR505C","U","PSP1 high copy suppressor of ts mutations in DNA polymerase alpha"
"YER043C","M","SAH1 S-adenosyl-L-homocysteine hydrolase"
"YMR130W","U","YMR130w similarity to D.melanogaster Dreg-2 protein"
"YJR056C","U","YJR056c hypothetical protein"
"YMR186W","R","HSC82 heat shock protein"
"YMR315W","U","YMR315w similarity to hypothetical S. pombe protein"
"YDR052C","D","DBF4 regulatory subunit for CDC7P protein kinase"
"YBR191W","P","RPL21A ribosomal protein L21.e"
"YFR009W","P","GCN20 positive effector of GCN2P"
"YNL216W","B","RAP1 DNA-binding protein with repressor and activator activity"
"YOR101W","C","RAS1 GTP-binding protein"
"YGR146C","U","YGR146c hypothetical protein"
"YGL129C","U","RSM23 similarity to S.pombe hypothetical protein SPBC29A3.15C - putative mitochondrial function"
"YDL081C","P","RPP1A 60S large subunit acidic ribosomal protein a1"
"YNL280C","M","ERG24 C-14 sterol reductase"
"YNL151C","T","RPC31 DNA-directed RNA polymerase III, 31 KD subunit"
"YNL073W","P","MSK1 lysyl-tRNA synthetase, mitochondrial"
"YGR192C","E","TDH3 glyceraldehyde-3-phosphate dehydrogenase 3"
"YJR159W","M","SOR1 sorbitol dehydrogenase"
"YNR071C","M","YNR071c strong similarity to UDP-glucose 4-epimerase GAL10P"
"YFR036W","D","CDC26 subunit of anaphase-promoting complex (cyclosome)"
"YLR418C","T","CDC73 DNA-directed RNA polymerase II accessory protein"
"YDR287W","C","YDR287w similarity to inositolmonophosphatases"
"YDR539W","U","YDR539w similarity to E.coli hypothetical 55.3 kDa protein in rfah-rfe intergenic region"
"YEL062W","M","NPR2 nitrogen permease regulator"
"YDR019C","G","GCV1 glycine decarboxylase, subunit T"
"YJR057W","M","CDC8 dTMP kinase"
"YIL003W","U","DRE3 strong similarity to NBP35P and human nucleotide-binding protein"
"YMR009W","U","YMR009w weak similarity to P.aeruginosa regulatory protein mmsR"
"YHL021C","U","YHL021c weak similarity to Pseudomonas gamma-butyrobetaine hydroxylase"
"YBR024W","F","SCO2 involved in stability of COX1P and COX2P"
"YNR069C","F","YNR069c similarity to central part of BUL1P"
"YMR263W","B","SAP30 subunit of the histone deacetylase B complex"
"YML015C","T","TAF40 TFIID subunit (TBP-associated factor), 40KD"
"YNL218W","D","MGS1 similarity to E.coli hypothetical protein in serS 5'region"
"YMR121C","P","RPL15B 60S large subunit ribosomal protein L15.e.c13"
"YFR047C","M","YFR047c strong similarity to human quinolinate phosphoribosyltransferase"
"YPL069C","M","BTS1 geranylgeranyl diphosphate synthase"
"YKR094C","F","RPL40B ubiquitin"
"YGR074W","T","SMD1 snRNA-associated protein"
"YNL041C","U","TFI2 weak similarity to MLP1"
"YNL030W","B","HHF2 histone H4"
"YER060W-A","A","FCY22 purine/cytosine permease with similarity to FCY2P"
"YIL148W","P","RPL40A ubiquitin"
"YDR147W","M","EKI1 ethanolamine kinase"
"YDL033C","U","YDL033c similarity to H.influenzae hypothetical protein HI0174"
"YBR094W","U","YBR094w weak similarity to pig tubulin-tyrosine ligase"
"YJL092W","D","HPR5 ATP-dependent DNA helicase"
"YNL192W","M","CHS1 chitin synthase I"
"YDR268W","P","MSW1 tryptophanyl-tRNA synthetase, mitochondrial"
"YDR111C","G","YDR111c strong similarity to alanine transaminase"
"YMR084W","U","YMR084w strong similarity to GFA1P - putative pseudogene"
"YCR020C","D","PET18 similarity to regulatory protein"
"YGR175C","M","ERG1 squalene monooxygenase"
"YLR143W","U","YLR143w weak similarity to Pyrococcus horikoshii hypothetical protein PHBJ017"
"YJR070C","U","YJR070c similarity to C.elegans hypothetical protein C14A4.1"
"YAL062W","G","GDH3 NADP-glutamate dehydrogenase"
"YOR004W","U","YOR004w weak similarity to hypothetical protein YDR339c"
"YDL164C","D","CDC9 DNA ligase"
"YNL320W","C","YNL320w strong similarity to S.pombe Bem46 protein"
"YDL201W","U","YDL201w strong similarity to probable methyltransferase related protein Neurospora crassa"
"YJR137C","C","ECM17 involved in cell wall biogenesis and architecture"
"YGR094W","P","VAS1 valyl-tRNA synthetase"
"YHR106W","M","TRR2 thioredoxin reductase"
"YDL131W","G","LYS21 homocitrate synthase"
"YOL071W","U","YOL071w similarity to hypothetical S. pombe protein"
"YPR201W","A","ARR3 involved in arsenite transport"
"YPL246C","U","YPL246c weak similarity to mouse proteinase activated receptor 2"
"YIL094C","G","LYS12 homo-isocitrate dehydrogenase"
"YPL160W","P","CDC60 leucine--tRNA ligase, cytosolic"
"YLR401C","U","YLR401c similarity to A.brasilense nifR3 protein"
"YOR168W","P","GLN4 glutaminyl-tRNA synthetase"
"YOL097C","P","WRS1 tryptophan--tRNA ligase"
"YPL227C","M","ALG5 dolichol-P-glucose synthetase"
"YGL169W","P","SUA5 translation initiation protein"
"YDR076W","D","RAD55 DNA repair protein"
"YKL191W","M","DPH2 diphtheria toxin resistance protein"
"YJR139C","G","HOM6 homoserine dehydrogenase"
"YML051W","B","GAL80 negative regulator for expression of galactose-induced genes"
"YDR044W","M","HEM13 coproporphyrinogen III oxidase"
"YKR031C","M","SPO14 phospholipase D"
"YHR029C","U","YHR029c similarity to S.lincolnensis lmbX protein"
"YLR017W","M","MEU1 multiple enhancer of UAS2"
"YLR177W","U","YLR177w similarity to suppressor protein Psp5p"
"YOR137C","U","YOR137c similarity to YLR361c"
"YHR028C","F","DAP2 dipeptidyl aminopeptidase B"
"YIL155C","M","GUT2 glycerol-3-phosphate dehydrogenase, mitochondrial"
"YOR092W","C","ECM3 involved in cell wall biogenesis and architecture"
"YLR405W","U","YLR405w similarity to A.brasilense nifR3 protein"
"YBR121C","P","GRS1 glycine--tRNA ligase"
"YBR287W","U","YBR287w similarity to hypothetical S. pombe protein"
"YNL168C","U","YNL168c similarity to C.elegans ZK688.3 protein and E.coli hpcEp"
"YGR012W","G","YGR012w similarity to E.nidulans cysteine synthase"
"YDR441C","M","APT2 adenine phosphoribosyltransferase"
"YLR207W","F","HRD3 involved in degradation of HMG2P"
"YOL137W","U","YOL137w weak similarity to tetracycline resistance proteins"
"YGR169C","M","YGR169c similarity to RIB2P"
"YDR292C","F","SRP101 signal recognition particle receptor, alpha chain"
"YML004C","M","GLO1 glyoxalase I"
"YDL174C","E","DLD1 D-lactate ferricytochrome C oxidoreductase (D-LCR)"
"YHR193C","P","EGD2 alpha subunit of the nascent polypeptide-associated complex"
"YCR010C","M","ADY2 strong similarity to Y.lipolytica GPR1 protein and FUN34P"
"YOL043C","D","NTG2 endonuclease III-like glycosylase 2"
"YDL178W",NA,NA
"YPR081C","P","YPR081c strong similarity to glycyl-tRNA synthetases"
"YPR062W","M","FCY1 cytosine deaminase"
"YOL005C","T","RPB11 DNA-directed RNA polymerase II subunit, 13.6 kD"
"YKR080W","M","MTD1 methylenetetrahydrofolate dehydrogenase (NAD+)"
"YEL071W","E","DLD3 D-lactate dehydrogenase"
"YGR256W","M","GND2 phosphogluconate dehydrogenase"
"YHR047C","F","AAP1' alanine/arginine aminopeptidase"
"YJL060W","M","YJL060w similarity to kynurenine aminotransferase and glutamine-phenylpyruvate transaminase"
"YDR037W","P","KRS1 lysyl-tRNA synthetase, cytosolic"
"YML096W","G","YML096w similarity to asparagine synthases"
"YMR177W","A","MMT1 mitochondrial gene involved in iron uptake"
"YBL061C","C","SKT5 protoplast regeneration and killer toxin resistance protein"
"YML024W","P","RPS17A ribosomal protein S17.e.A"
"YLR011W","U","LOT6 weak similarity to E.coli hypothetical 20.4 kDa protein"
"YDR293C","R","SSD1 involved in the tolerance to high concentration of Ca2+"
"YEL038W","M","UTR4 similarity to K.oxytoca enolase-phosphatase E-1"
"YGL067W","M","NPY1 NADH pyrophosphatase I of the Nudix family of hydrolases, has a peroxisomal targeting signal"
"YFL030W","G","YFL030w similarity to several transaminases"
"YER078C","F","YER078c similarity to E.coli X-Pro aminopeptidase II"
"YHR183W","E","GND1 6-phosphogluconate dehydrogenase"
"YDR384C","U","YDR384c strong similarity to Y.lipolytica GPR1 gene"
"YMR090W","U","YMR090w strong similarity to B. subtilis conserved hypothetical protein yhfK"
"YJR148W","G","BAT2 branched chain amino acid aminotransferase, cytosolic"
"YHR012W","O","VPS29 involved in vacuolar protein sorting"
"YCR059C","U","YIH1 weak similarity to hypothetical protein YDL177c"
"YHR206W","B","SKN7 transcription factor with similarity to HSF1P"
"YJR149W","M","YJR149w similarity to 2-nitropropane dioxygenase"
"YHR088W","U","RPF1 similarity to hypothetical protein YNL075w"
"YIR015W","T","RPR2 RNase P subunit"
"YHL022C","D","SPO11 catalytic subunit of the meiotic double strand break transesterase"
"YDL036C","M","YDL036c strong similarity to RIB2 protein"
"YER142C","D","MAG1 3-methyladenine DNA glycosylase"
"YER004W","U","YER004w similarity to hypothetical E.coli and C.elegans proteins"
"YHR013C","D","ARD1 protein N-acetyltransferase subunit"
"YOR171C","M","LCB4 sphingolipid long chain base kinase"
"YPL279C","U","YPL279c strong similarity, nearly identical to YOR390w"
"YDR353W","M","TRR1 thioredoxin reductase (NADPH)"
"YDR447C","P","RPS17B ribosomal protein S17.e.B"
"YER171W","D","RAD3 DNA helicase/ATPase"
"YOL096C","M","COQ3 enzyme of ubiquinone (coenzyme Q) biosynthesis"
"YBR243C","F","ALG7 UDP-N-acetylglucosamine-1-phosphate transferase"
"YER057C","R","HMF1 Heat-shock induceable Inhibiter of cell Growth"
"YBR207W","A","FTH1 similarity to Iron permease FTR1P (YER145c)"
"YOR390W","U","YOR390w strong similarity to YPL279c"
"YNL155W","U","YNL155w similarity to unnamed ORF;  Homo sapiens cDNA"
"YLR382C","P","NAM2 leucine--tRNA ligase precursor, mitochondrial"
"YEL050C","P","RML2 ribosomal L2 protein, mitochondrial"
"YLR105C","T","SEN2 tRNA splicing endonuclease beta subunit"
"YLR361C","U","YLR361c similarity to YOR3329c"
"YNL332W","M","THI12 nearly identical to THI5P, THI11 and YDL244w"
"YNL037C","E","IDH1 isocitrate dehydrogenase (NAD+) subunit 1, mitochondrial"
"YDR339C","U","YDR339c weak similarity to hypothetical protein YOR004w"
"YML075C","M","HMG1 3-hydroxy-3-methylglutaryl-coenzyme A reductase 1"
"YPL008W","D","CHL1 protein of the DEAH box family"
"YNL220W","M","ADE12 adenylosuccinate synthetase"
"YNL095C","U","YNL095c strong similarity to YOR092w"
"YLR089C","G","YLR089c strong similarity to alanine transaminases"
"YML105C","F","SEC65 signal recognition particle subunit"
"YOL033W","P","MSE1 glutamyl-tRNA synthetase, mitochondrial"
"YPL092W","R","SSU1 sulfite sensitivity protein"
"YPL079W","P","RPL21B ribosomal protein L21"
"YNR015W","U","SMM1 similarity to E.histolytica nitrogen fixation regulatory protein-3 homolog"
"YGL224C","U","YGL224c strong similarity to hypothetical protein YER037w"
"YLR174W","M","IDP2 isocitrate dehydrogenase, cytosolic"
"YDR403W","C","DIT1 spore wall maturation protein"
"YJR156C","M","THI11 thiamine regulated gene, homologous to nmt1a in S. pombe"
"YHR179W","E","OYE2 NADPH dehydrogenase (old yellow enzyme), isoform 1"
"YFL033C","C","RIM15 protein kinase involved in expression of meiotic genes"
"YAL015C","D","NTG1 DNA repair protein"
"YOL060C","U","AMI3 similarity to hypothetical C.elegans and A.thaliana proteins"
"YDL244W","M","THI13 strong similarity to THI5P, YJR156c, YNL332w and A. parasiticus, S.pombe NMT1 protein"
"YJL172W","M","CPS1 Gly-X carboxypeptidase YSCS precursor"
"YOL095C","D","HMI1 mitochondrial DNA helicase"
"YLR107W","M","REX3 RNA exonuclease, member of the family of 3' -5' exonucleases"
"YCR037C","A","PHO87 member of the phosphate permease family"
"YOR375C","G","GDH1 glutamate dehydrogenase (NADP+)"
"YBR166C","G","TYR1 prephenate dehydrogenase (NADP+)"
"YKL132C","M","RMA1 similarity to B.subtilis folC protein and strong similarity to YMR113w"
"YKR079C","U","YKR079c similarity to S.pombe hypothetical protein SPAC1D4.10"
"YML060W","D","OGG1 8-oxoguanine DNA glycosylase"
"YML080W","U","DUS1 similarity to A.brasilense nifR3 protein"
"YDR341C","P","YDR341c arginyl-tRNA synthetase, cytosolic"
"YLR109W","R","AHP1 Alkyl hydroperoxide reductase"
"YJR008W","U","YJR008w similarity to S.pombe hypothetical protein"
"YFR006W","F","YFR006w similarity to X-Pro dipeptidases"
"YEL024W","E","RIP1 ubiquinol--cytochrome-c reductase iron-sulfur protein precursor"
"YPL206C","U","YPL206c weak similarity to glycerophosphoryl diester phosphodiesterases"
"YCR024C","P","YCR024c asn-tRNA synthetase, mitochondrial"
"YNL142W","A","MEP2 high affinity low capacity ammonia permease"
"YHR032W","A","ERC1 ethionine resistance protein"
"YLR308W","C","CDA2 sporulation-specific chitin deacetylase"
"YMR114C","U","YMR114c similarity to B. subtilis conserved hypothetical proteins yoqW and yoaM"
"YBR053C","U","YBR053c similarity to rat regucalcin"
"YDL078C","E","MDH3 malate dehydrogenase, peroxisomal"
"YLR152C","U","YLR152c similarity to YOR3165w and YNL095c"
"YDL166C","U","YDL166c weak similarity to Pyrococcus horikoshii hypothetical protein PHBJ019"
"YIL074C","G","SER33 3-phosphoglycerate dehydrogenase"
"YOR311C","U","HSD1 similarity to hypothetical S. pombe protein"
"YLR450W","M","HMG2 3-hydroxy-3-methylglutaryl-coenzyme A reductase 2"
"YDL141W","F","BPL1 biotin holocarboxylase synthetase"
"YPL110C","U","YPL110c similarity to C.elegans hypothetical protein, weak similarity to PHO81P"
"YPR145W","G","ASN1 asparagine synthetase"
"YLR165C","M","PUS5 RNA:pseudouridine (Psi)-synthase"
"YLR307W","C","CDA1 sporulation-specific chitin deacetylase"
"YCL004W","M","PGS1 phosphatidylglycerophosphate synthase"
"YKL156W","P","RPS27A ribosomal protein S27.e"
"YDR338C","U","YDR338c similarity to ERC1P"
"YPR138C","A","MEP3 low affinity high capacity ammonium permease"
"YIL051C","C","MMF1 required for maintenance of mitochondrial DNA"
"YOR176W","M","HEM15 ferrochelatase precursor"
"YLR260W","M","LCB5 sphingolipid long chain base kinase"
"YPR183W","M","DPM1 dolichyl-phosphate beta-D-mannosyltransferase"
"YNR013C","A","PHO91 similarity to PHO87P and PHO90P"
"YBR023C","C","CHS3 chitin synthase III"
"YMR089C","F","YTA12 protease of the SEC18/CDC48/PAS1 family of ATPases (AAA)"
"YNR002C","M","FUN34 strong similarity to Y.lipolytica glyoxylate pathway regulator GPR1"
"YLL029W","U","YLL029w similarity to M.jannaschii X-Pro dipeptidase and S.pombe hypothetical protein"
"YJL094C","A","KHA1 K+/H+ exchanger"
"YNL011C","U","YNL011c similarity to hypothetical A. thaliana protein T14G11.21"
"YKR050W","A","TRK2 moderate-affinity potassium transport protein"
"YHR100C","U","YHR100c strong similarity to PIR:T48794 hypothetical protein  Neurospora crassa"
"YGL252C","M","RTG2 retrograde regulation protein"
"YJR103W","M","URA8 CTP synthase 2"
"YDL177C","U","YDL177c similarity to hypothetical protein YCR059c"
"YDR109C","U","YDR109c similarity to MPA43P"
"YER145C","A","FTR1 iron permease that mediates high-affinity iron uptake"
"YHR062C","T","RPP1 required for processing of tRNA and 35S rRNA"
"YBR011C","M","IPP1 inorganic pyrophosphatase, cytoplasmic"
"YGL094C","T","PAN2 component of PAB1P-stimulated poly(A) ribonuclease"
"YHR128W","M","FUR1 uracil phosphoribosyltransferase"
"YFL058W","M","THI5 pyrimidine biosynthesis protein"
"YOR143C","M","THI80 thiamin pyrophosphokinase"
"YIL137C","F","YIL137c similarity to M.musculus aminopeptidase"
"YER183C","M","FAU1 similarity to human 5,10-methenyltetrahydrofolate synthetase"
"YNL009W","E","IDP3 isocitrate dehydrogenase, NADP-dependent"
"YBR196C","E","PGI1 glucose-6-phosphate isomerase"
"YOR052C","U","YOR052c similarity to hypothetical protein S. pombe"
"YOR251C","M","YOR251c similarity to thiosulfate sulfurtransferases"
"YLR163C","F","MAS1 mitochondrial processing peptidase"
"YOL126C","E","MDH2 malate dehydrogenase, cytoplasmic"
"YKL085W","E","MDH1 malate dehydrogenase precursor, mitochondrial"
"YGL154C","G","LYS5 L-aminoadipate-semialdehyde dehydrogenase, small subunit"
"YBR022W","U","YBR022w weak similarity to hypothetical protein Mycobacterium tuberculosis"
"YOL080C","D","REX4 strong similarity to X.laevis XPMC2 protein and YGR276c"
"YJL046W","U","YJL046w similarity to E.coli lipoate-protein ligase A"
"YKL106W","G","AAT1 aspartate transaminase, mitochondrial"
"YGL212W","C","VAM7 vacuolar morphogenesis protein"
"YGL023C","U","PIB2 phosphatidylinositol 3-phosphate binding"
"YOL123W","T","HRP1 CF Ib (RNA3' Cleavage factor Ib)"
"YBR085W","O","AAC3 ADP/ATP carrier protein (MCF)"
"YGR070W","C","ROM1 GDP/GTP exchange protein for RHO1P"
"YGL213C","R","SKI8 antiviral protein of the beta-transducin (WD-40) repeat family"
"YHR089C","T","GAR1 nucleolar rRNA processing protein"
"YJR032W","F","CPR7 member of the cyclophilin family"
"YKR059W","P","TIF1 translation initiation factor 4A"
"YPL016W","B","SWI1 component of SWI/SNF global transcription activator complex"
"YAL041W","D","CDC24 GTP/GDP exchange factor for CDC42P"
"YKL212W","O","SAC1 recessive suppressor of secretory defect"
